ID,longitude,latitude,PN,DN,WN,P,Date,Qyc,Qc,WQI,Wh1,HH,Wh2,XNM,Wh3,LL,Wh4,SL,Wh5,Wv1,PD,Wv2,WSCI,Wv3,DTR,Wv4,MDK,Wv5
X52,106.15,10.602,Long An,Thanh Hóa,Thạnh An,11887,11/9/2023,1426,132,39,0.48,0.45,0.09,0,0.18,3.45,0.07,7,0.19,0.1,20,0.07,0.36,0.4,4265,0.25,17831,0.18
X53,105.859,10.5771,Đồng Tháp,Tháp Mười,Tân Kiều,9697.747076,11/9/2023,1164,28,47,0.48,-2.8,0.09,15,0.18,0.2,0.07,20,0.19,0.1,24,0.07,0.38,0.4,3726,0.25,14547,0.18
X54,106.635,10.6114,Long An,Cần Giuộc,Mỹ Lộc,5954,11/9/2023,714,573,52,0.48,-0.26,0.09,15,0.18,2.74,0.07,11,0.19,0.1,50,0.07,0.08,0.4,495,0.25,8931,0.18
X55,106.238,10.2851,Bến Tre,Châu Thành,Qưới Thành,11887,11/9/2023,1426,1315,57,0.48,-0.24,0.09,0,0.18,2.76,0.07,10,0.19,0.1,179,0.07,0.09,0.4,1094,0.25,17831,0.18
X56,105.666,10.2693,Đồng Tháp,Lai Vung,Hòa Long,15264.23103,11/9/2023,1832,20,58,0.48,-2.8,0.09,23,0.18,0.2,0.07,30,0.19,0.1,85,0.07,0.14,0.4,2063,0.25,22896,0.18
X57,106.669,10.2692,Tiền Giang,Tân Phú Đông,Phú Thạnh,6428.679026,11/9/2023,771,20,54,0.48,0.45,0.09,0,0.18,3.45,0.07,20,0.19,0.1,30,0.07,0.08,0.4,485,0.25,9643,0.18
X58,105.768,10.2868,Đồng Tháp,Sa Đéc,tx2,9484.751157,11/9/2023,1138,20,61,0.48,-2.8,0.09,1,0.18,0.2,0.07,40,0.19,0.1,530,0.07,0.02,0.4,158,0.25,14227,0.18
X59,104.632,10.2713,Kiên Giang,Hà Tiên,Kiên Lương,10878.5164,11/9/2023,1305,10,63,0.48,-0.24,0.09,8,0.18,2.76,0.07,9,0.19,0.1,63,0.07,0.04,0.4,448,0.25,16318,0.18
X60,106.398,10.2777,Bến Tre,Châu Thành,Phước Thạnh,9772,11/9/2023,1173,690,54,0.48,0.45,0.09,0,0.18,3.45,0.07,13,0.19,0.1,107,0.07,0.27,0.4,2633,0.25,14658,0.18
X61,105.75,11.0028,Long An,Vĩnh Hưng,Hưng Điền A,4838.867018,11/9/2023,581,186,39,0.48,0.24,0.09,0,0.18,3.24,0.07,11,0.19,0.1,12,0.07,1.67,0.4,8085,0.25,7258,0.18
X62,106.306,11.0074,Long An,Đức Hòa,Lộc Giang,3464.214363,11/9/2023,416,214,32,0.48,-0.24,0.09,0,0.18,2.76,0.07,9,0.19,0.1,17,0.07,0.11,0.4,366,0.25,5196,0.18
X63,106.333,10.9749,Long An,Đức Hòa,An Ninh Đông,5718.011248,11/9/2023,686,192,22,0.48,0.36,0.09,0,0.18,3.36,0.07,9,0.19,0.1,31,0.07,0.11,0.4,610,0.25,8577,0.18
X64,105.794,10.9541,Long An,Vĩnh Hưng,Thái Trị,7742.187229,11/9/2023,929,194,39,0.48,-2.8,0.09,0,0.18,0.2,0.07,16,0.19,0.1,21,0.07,0.7,0.4,5391,0.25,11613,0.18
X65,106.301,10.9657,Long An,Đức Hòa,An Ninh Tây,9439.007067,11/9/2023,1133,200,29,0.48,-1.32,0.09,0,0.18,1.68,0.07,7,0.19,0.1,44,0.07,0.14,0.4,1301,0.25,14159,0.18
X66,106.215,10.9655,Long An,Đức Huệ,Mỹ Quý Đông,9440.43657,11/9/2023,1133,207,35,0.48,-0.24,0.09,16,0.18,2.76,0.07,8,0.19,0.1,24,0.07,0.06,0.4,613,0.25,14161,0.18
X67,106.39,10.9529,Long An,Đức Hòa,Tân Mỹ,10253.82367,11/9/2023,1230,213,46,0.48,0.36,0.09,0,0.18,3.36,0.07,13,0.19,0.1,28,0.07,0.29,0.4,2926,0.25,15381,0.18
X68,105.651,10.9319,Long An,Tân Hưng,Hưng Hà,14373.65077,11/9/2023,1725,292,42,0.48,0.45,0.09,0,0.18,3.45,0.07,10,0.19,0.1,29,0.07,0.12,0.4,1653,0.25,21560,0.18
X69,105.75,10.9275,Long An,Vĩnh Hưng,Vĩnh Trị,10962.85706,11/9/2023,1316,183,39,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,19,0.07,0.12,0.4,1346,0.25,16444,0.18
X70,105.452,10.9277,Đồng Tháp,Tân Hồng,Tân Hộ Cơ,14206.39894,11/9/2023,1705,27,57,0.48,-0.26,0.09,0,0.18,2.74,0.07,7,0.19,0.1,31,0.07,0.12,0.4,1647,0.25,21310,0.18
X71,105.601,10.9328,Long An,Tân Hưng,Hưng Điền B,5603.651023,11/9/2023,672,307,47,0.48,-1.32,0.09,1,0.18,1.68,0.07,13,0.19,0.1,13,0.07,0.49,0.4,2732,0.25,8405,0.18
X72,106.268,10.9327,Long An,Đức Huệ,Mỹ Thạnh Bắc,146460.9069,11/9/2023,17575,189,33,0.48,0.36,0.09,0,0.18,3.36,0.07,9,0.19,0.1,356,0.07,0,0.4,702,0.25,219691,0.18
X73,106.057,10.801,Long An,Mộc Hóa,Bình Thạnh,25421.74792,11/9/2023,3051,295,36,0.48,0.45,0.09,12,0.18,3.45,0.07,6,0.19,0.1,53,0.07,0.07,0.4,1719,0.25,38133,0.18
X74,106.419,10.5277,Long An,Tân An,3,23618.3745,11/9/2023,2834,166,37,0.48,-2.8,0.09,0,0.18,0.2,0.07,10,0.19,0.1,468,0.07,0,0.4,110,0.25,35428,0.18
X75,105.022,10.5299,An Giang,Tịnh Biên,Chi Lăng,16071.90011,11/9/2023,1929,4,55,0.48,-0.26,0.09,8,0.18,2.74,0.07,8,0.19,0.1,246,0.07,0.02,0.4,306,0.25,24108,0.18
X76,106.58,10.5183,Long An,Cần Đước,Phước Tuy,12087.87578,11/9/2023,1451,518,53,0.48,-0.24,0.09,0,0.18,2.76,0.07,15,0.19,0.1,76,0.07,0.21,0.4,2589,0.25,18132,0.18
X77,105.578,10.4922,Đồng Tháp,Cao Lanh,11,14410.81785,11/9/2023,1729,575,57,0.48,0.36,0.09,0,0.18,3.36,0.07,13,0.19,0.1,173,0.07,0.01,0.4,155,0.25,21616,0.18
X78,105.728,10.4704,Đồng Tháp,Cao Lãnh,Mỹ Thọ,2783.956593,11/9/2023,334,20,57,0.48,0.45,0.09,15,0.18,3.45,0.07,23,0.19,0.1,11,0.07,0.69,0.4,1912,0.25,4176,0.18
X79,106.716,10.4589,Tiền Giang,Gò Công Đông,Tân Phước,4302.966513,11/9/2023,516,182,55,0.48,-2.8,0.09,2,0.18,0.2,0.07,24,0.19,0.1,17,0.07,0.94,0.4,4057,0.25,6454,0.18
X80,105.901,10.5801,Long An,Tân Thành,Tân Thành,26518.40359,11/9/2023,3182,178,43,0.48,-0.26,0.09,10,0.18,2.74,0.07,20,0.19,0.1,95,0.07,0.12,0.4,3156,0.25,39778,0.18
X81,106.617,10.5924,Long An,Cần Giuộc,Phước Lâm,8947.869855,11/9/2023,1074,152,51,0.48,-0.24,0.09,2,0.18,2.76,0.07,13,0.19,0.1,90,0.07,0.15,0.4,1315,0.25,13422,0.18
X82,106.062,10.5814,Long An,Tân Thành,Tân Bình,7285.8753,11/9/2023,874,191,42,0.48,-2.8,0.09,0,0.18,0.2,0.07,30,0.19,0.1,25,0.07,0.09,0.4,680,0.25,10929,0.18
X83,105.406,10.5719,Đồng Tháp,Thanh Bình,Tân Long,11993.52859,11/9/2023,1439,4,58,0.48,0.45,0.09,0,0.18,3.45,0.07,7,0.19,0.1,81,0.07,0.21,0.4,2464,0.25,17990,0.18
X84,105.271,10.575,An Giang,Phú Tân,Bình Thạnh Đông,8278.635695,11/9/2023,993,20,61,0.48,-2.8,0.09,24,0.18,0.2,0.07,8,0.19,0.1,54,0.07,0.13,0.4,1090,0.25,12418,0.18
X85,106.635,10.4917,Long An,Cần Đước,Phước Đông,18480,11/9/2023,2218,178,54,0.48,-0.24,0.09,0,0.18,2.76,0.07,23,0.19,0.1,87,0.07,0,0.4,26,0.25,27720,0.18
X86,105.591,10.5023,Đồng Tháp,Cao Lanh,Mỹ Ngãi,4808,11/9/2023,577,300,57,0.48,0.45,0.09,0,0.18,3.45,0.07,13,0.19,0.1,78,0.07,0.31,0.4,1508,0.25,7212,0.18
X87,105.012,10.4776,An Giang,Tịnh Biên,An Hảo,12803,11/9/2023,1536,53,53,0.48,-1.5,0.09,20,0.18,1.5,0.07,5,0.19,0.1,24,0.07,0.06,0.4,764,0.25,19205,0.18
X88,106.588,10.4886,Long An,Cần Đước,Tân Ân,8184,11/9/2023,982,184,53,0.48,-2.8,0.09,0,0.18,0.2,0.07,15,0.19,0.1,84,0.07,0.3,0.4,2418,0.25,12276,0.18
X89,105.689,10.4847,Đồng Tháp,Cao Lãnh,Nhị Mỹ,10726,11/9/2023,1287,20,58,0.48,-0.26,0.09,4,0.18,2.74,0.07,30,0.19,0.1,38,0.07,0.07,0.4,699,0.25,16089,0.18
X90,104.919,10.1918,Kiên Giang,Hòn Đất,Hòn Đất,12676,11/9/2023,1521,19,35,0.48,-1.32,0.09,0,0.18,1.68,0.07,9,0.19,0.1,38,0.07,0.03,0.4,353,0.25,19014,0.18
X91,105.437,10.2003,Cần Thơ,Vĩnh Thạnh,Thạnh Lộc,11412,11/9/2023,1369,477,56,0.48,-0.24,0.09,0,0.18,2.76,0.07,13,0.19,0.1,37,0.07,0.35,0.4,4043,0.25,17118,0.18
X92,105.565,10.1967,Cần Thơ,Thốt Nốt,Thuận Hưng,18842,11/9/2023,2261,471,57,0.48,0.36,0.09,0,0.18,3.36,0.07,11,0.19,0.1,62,0.07,0.07,0.4,1245,0.25,28263,0.18
X93,105.482,10.1727,Cần Thơ,Vĩnh Thạnh,Trung Hưng,20308,11/9/2023,2437,292,55,0.48,0.45,0.09,0,0.18,3.45,0.07,11,0.19,0.1,47,0.07,0.07,0.4,1414,0.25,30462,0.18
X94,105.962,10.2131,Vĩnh Long,Long Hồ,Phước Hậu,11306,11/9/2023,1357,678,61,0.48,-1.5,0.09,0,0.18,1.5,0.07,9,0.19,0.1,123,0.07,0.15,0.4,1695,0.25,16959,0.18
X95,105.755,10.2053,Đồng Tháp,Châu Thành,Tân Phú,7861,11/9/2023,943,101,62,0.48,-1.32,0.09,22,0.18,1.68,0.07,20,0.19,0.1,48,0.07,1.04,0.4,8181,0.25,11792,0.18
X96,106.415,10.1796,Bến Tre,Giồng Trôm,Thuận Điền,6113,11/9/2023,734,1001,55,0.48,-2.8,0.09,7,0.18,0.2,0.07,15,0.19,0.1,61,0.07,0.21,0.4,1294,0.25,9170,0.18
X97,106.24,10.1691,Bến Tre,Chợ Lách,Hưng Khánh Trung B,10483,11/9/2023,1258,538,55,0.48,-2.8,0.09,30,0.18,0.2,0.07,9,0.19,0.1,44,0.07,0.1,0.4,1095,0.25,15725,0.18
X98,106.672,10.1544,Bến Tre,Bình Đại,Đại Hòa Lộc,8913,11/9/2023,1070,5685,46,0.48,-1.5,0.09,2,0.18,1.5,0.07,25,0.19,0.1,39,0.07,0.1,0.4,851,0.25,13370,0.18
X99,106.05,10.1803,Vĩnh Long,Mang Thít,Bình Phước,9981,11/9/2023,1198,500,54,0.48,-1.5,0.09,24,0.18,1.5,0.07,11,0.19,0.1,56,0.07,0.14,0.4,1425,0.25,14972,0.18
X100,104.86,10.1635,Kiên Giang,Hòn Đất,Lình Huỳnh,9349,11/9/2023,1122,1,49,0.48,-0.26,0.09,16,0.18,2.74,0.07,6,0.19,0.1,27,0.07,0.46,0.4,4341,0.25,14024,0.18
X101,105.097,10.1427,Kiên Giang,Hòn Đất,Mỹ Phước,4646,11/9/2023,558,87,44,0.48,-1.5,0.09,7,0.18,1.5,0.07,7,0.19,0.1,13,0.07,1.37,0.4,6353,0.25,6969,0.18
X102,106.122,10.1539,Vĩnh Long,Vũng Liêm,Tân Quới Trung,7695,11/9/2023,923,725,51,0.48,-2.8,0.09,0,0.18,0.2,0.07,7,0.19,0.1,52,0.07,0.37,0.4,2880,0.25,11543,0.18
X103,105.145,10.1306,Kiên Giang,Tân Hiệp,Tân Hội,13725,11/9/2023,1647,85,46,0.48,-0.26,0.09,30,0.18,2.74,0.07,9,0.19,0.1,30,0.07,0.1,0.4,1351,0.25,20588,0.18
X104,106.706,10.1198,Bến Tre,Bình Đại,Thạnh Phước,8179,11/9/2023,981,3414,45,0.48,0.36,0.09,0,0.18,3.36,0.07,20,0.19,0.1,15,0.07,0.12,0.4,1010,0.25,12269,0.18
X105,105.333,10.1431,Cần Thơ,Vĩnh Thạnh,Thạnh An,9232,11/9/2023,1108,429,54,0.48,0.45,0.09,0,0.18,3.45,0.07,13,0.19,0.1,50,0.07,0.16,0.4,1472,0.25,13848,0.18
X106,105.787,10.1415,Vĩnh Long,Bình Tân,Thành Trung,6640,11/9/2023,797,432,62,0.48,-2.8,0.09,0,0.18,0.2,0.07,30,0.19,0.1,43,0.07,0.79,0.4,5241,0.25,9960,0.18
X107,105.572,10.2492,Cần Thơ,Thốt Nốt,Tân Lộc,29123,11/9/2023,3495,290,58,0.48,-1.32,0.09,0,0.18,1.68,0.07,9,0.19,0.1,87,0.07,0.08,0.4,2233,0.25,43685,0.18
X108,106.34,10.9398,Long An,Đức Hòa,Lộc Giang,16908,11/9/2023,2029,165,25,0.48,-2.8,0.09,0,0.18,0.2,0.07,7,0.19,0.1,96,0.07,0.01,0.4,173,0.25,25362,0.18
X109,105.501,10.9254,Đồng Tháp,Tân Hồng,Thông Bình,9842,11/9/2023,1181,4,51,0.48,-0.26,0.09,0,0.18,2.74,0.07,11,0.19,0.1,33,0.07,0.19,0.4,1903,0.25,14763,0.18
X110,105.103,10.9464,An Giang,An Phú,Khánh An,11925,11/9/2023,1431,157,60,0.48,0.45,0.09,0,0.18,3.45,0.07,8,0.19,0.1,137,0.07,0.04,0.4,529,0.25,17888,0.18
X111,105.551,10.9268,Long An,Tân Hưng,Hưng Điền,6618,11/9/2023,794,383,49,0.48,-2.8,0.09,0,0.18,0.2,0.07,6,0.19,0.1,17,0.07,0.23,0.4,1523,0.25,9927,0.18
X112,106.183,10.924,Long An,Đức Huệ,Mỹ Quý Tây,12857,11/9/2023,1543,493,33,0.48,-0.26,0.09,0,0.18,2.74,0.07,9,0.19,0.1,24,0.07,0.07,0.4,875,0.25,19286,0.18
X113,105.098,10.728,An Giang,Chau Doc,Vĩnh Nguơn,7435,11/9/2023,892,250,63,0.48,-1.32,0.09,0,0.18,1.68,0.07,9,0.19,0.1,87,0.07,0.34,0.4,2523,0.25,11153,0.18
X114,106.026,10.6989,Long An,Mộc Hóa,Tân Thành,3738,11/9/2023,449,344,38,0.48,0.45,0.09,0,0.18,3.45,0.07,15,0.19,0.1,11,0.07,0.77,0.4,2890,0.25,5607,0.18
X115,105.14,10.797,An Giang,An Phú,Vĩnh Hậu,9448,11/9/2023,1134,2,61,0.48,-2.8,0.09,2,0.18,0.2,0.07,9,0.19,0.1,47,0.07,0.51,0.4,4822,0.25,14172,0.18
X116,106.339,10.7213,Long An,Thủ Thừa,Tân Lập,5420,11/9/2023,650,176,28,0.48,-1.32,0.09,0,0.18,1.68,0.07,12,0.19,0.1,15,0.07,0.08,0.4,456,0.25,8130,0.18
X117,105.231,10.7286,An Giang,Phú Tân,Phú Long,5206,11/9/2023,625,20,61,0.48,-0.24,0.09,0,0.18,2.76,0.07,12,0.19,0.1,30,0.07,0.8,0.4,4140,0.25,7809,0.18
